"
  July 2, 2017 8:00 a.m. ET
",Why You Won’t Be Buying a Coffee With Bitcoin Anytime Soon ,Paul Vigna,https://wsj.com/articles/why-you-wont-be-buying-a-coffee-with-bitcoin-anytime-soon-1498996800,"Bitcoin was designed to be cheap, reliable and fast. Lately, though, many users are complaining that the digital currency is anything but. The cost for investors and consumers to buy or sell bitcoin hit an average of $5 per transaction in early June, the highest rate of its eight-year history as an alternative means of payment. The fee has since come down to about $3.50. Two years ago, it was less than a nickel. The figures,...
  "
"
  July 1, 2017 7:00 a.m. ET
",Why Bitcoin and Ether Went Wild ,Paul Vigna,https://wsj.com/articles/virtual-currencies-got-more-volatile-in-second-quarter-1498906801,"Even for an investment as volatile as bitcoin, the second quarter was wild. The cryptocurrency stood at $1,079 on April 1. Over the next two months, it nearly tripled in price, driven in part by a surge of interest coming from Japan and South Korea. Bitcoin hit a record of $3,019 on June 11, and then fell 27% in the days after. It closed...
  "
"
  June 29, 2017 5:26 p.m. ET
","Cyberattack Launched for Pain, Not Profit, Experts Say ",Robert McMillan,https://wsj.com/articles/cyberattack-launched-for-pain-not-profit-experts-say-1498771601,"This week’s global virus outbreak that grounded airplanes in Ukraine, slowed FedEx courier deliveries in Europe and disrupted Maersk container ships around the world was devised simply to damage businesses, not earn profits for the hackers behind it, security experts now believe. The latest attack was similar, yet more sophisticated than last month’s WannaCry virus, which also appeared as though designed to extort money, security...
  "
"
  June 29, 2017 5:30 a.m. ET
","Chip Makers Are Cashing In on Digital Currencies, for Now   ",Dan Gallagher,https://wsj.com/articles/chip-makers-are-cashing-in-on-digital-currencies-for-now-1498728602,"It’s good to be in the graphics chip business these days. Sometimes too good. Graphics processors, otherwise known as GPUs, have long been the mainstay of personal computers tricked out for gaming. They are also now key components in the artificial intelligence systems being built into state-of-the-art data centers and self-driving cars. That has been driving up the stock prices of the two largest companies in the business—Nvidia and...
  "
"
  Updated June 28, 2017 5:27 p.m. ET
",Companies Try to Contain Fallout From Global Cyberattack,Nick Kostov & Costas Paris,https://wsj.com/articles/fallout-from-global-cyberattack-extends-into-second-day-1498639146,"Global firms scrambled to cope with fallout from a cyberattack that disrupted computers across Europe and the U.S.  A.P. Moeller-Maersk A/S, the world’s biggest container-ship operator, has shuttered many of its ports around the world. French construction giant Saint Gobain resorted to manually operating some factory gear. The origins of the virus were still unknown early Wednesday. Security experts described the computer...
  "
"
      June 28, 2017 7:57 a.m. ET
    ",CMO Today: WPP Suffers Hack; Brunch Beer; Verizon Pursues Carrier Data Tie-Ups,Lara O’Reilly,https://wsj.com/articles/cmo-today-wpp-suffers-hack-brunch-beer-verizon-pursues-carrier-data-tie-ups-1498651067,
"
  Updated June 27, 2017 8:48 p.m. ET
",Cyberattacks Hit Major Companies Across Globe,Robert McMillan & David Gauthier-Villars & James Marson,https://wsj.com/articles/cyberattacks-hit-global-companies-in-europe-1498575793,"Cyberattacks wreaked havoc across Europe and the U.S. on Tuesday in a confidence-shaking attack that appeared to stem in part from an obscure Ukrainian tax software product. The virus, whose victims included major global companies from Merck & Co. to PAO Rosneft, bore similarities to last month’s global ransomware attack but was in some ways more insidious, security experts say. The attack, which security experts dubbed...
  "
"
  Updated June 27, 2017 2:44 p.m. ET
",Florida bitcoin processing boss gets over 5 years in prison,,https://wsj.com/articles/APf1f6699a519a43d284bafb3d0d16bfd7,
"
  Updated June 23, 2017 8:12 p.m. ET
",Volatile Digital Currency Suffers ‘Flash Crash’,Paul Vigna,https://wsj.com/articles/volatile-digital-currency-suffers-flash-crash-1498260100,"The flash crash has come to cryptocurrencies. Ether, the digital currency used on the Ethereum platform, experienced a surge in trading this week that led to debilitating bottlenecks and at one point a “flash crash,” with one exchange reporting trades as low as 10 cents for an asset that was trading above $300 just minutes before. While the price recovered after Wednesday’s mishap, it was the latest twist for a digital...
  "
"
  Updated June 20, 2017 7:57 p.m. ET
",The Virtual-Currency War That Threatens to Tear Bitcoin Apart ,Paul Vigna,https://wsj.com/articles/the-virtual-currency-war-that-threatens-to-tear-bitcoin-apart-1497956400,"A calcifying rift in the bitcoin world is pitting two camps with competing visions for what the virtual currency should be against each other, accentuating the volatility that has come to define this market. Even for bitcoin, though, last week was a wild ride. It increased to a high of $3,018, only to fall 27%. The currency then recovered somewhat and by late Tuesday was trading at $2,810. The sharp swings come amid bitter...
  "
